Day,Capital Start,C_i-1,mi,p,M_i,G,C_i,Total Orders,Capital End
1,15000000.0,1020000.0,6000000.0,1.0,9000000.0,1.0042687078616468,1024354.0820188797,4097416.328075519,245844979.68453112
2,245844979.68453112,1024354.0820188797,98337991.87381245,1.0,147506987.81071866,1.0076069443506317,1032146.2865161397,4128585.146064559,247715108.76387358
3,247715108.76387358,1032146.2865161397,99086043.50554943,1.0,148629065.25832415,1.0076178172630306,1040008.9883155352,4160035.953262141,249602157.19572845
4,249602157.19572845,1040008.9883155352,99840862.87829138,1.0,149761294.31743705,1.0076287123414236,1047942.9177198894,4191771.6708795577,251506300.25277352
5,251506300.25277352,1047942.9177198894,100602520.10110942,1.0,150903780.1516641,1.0076396296311483,1055948.8134858543,4223795.253943417,253427715.23660505
6,253427715.23660505,1055948.8134858543,101371086.09464203,1.0,152056629.14196303,1.0076505691777002,1064027.4229315384,4256109.691726154,255366581.50356925
7,255366581.50356925,1064027.4229315384,102146632.6014277,1.0,153219948.90214154,1.0076615310267332,1072179.5020456233,4288718.008182493,257323080.4909496
8,257323080.4909496,1072179.5020456233,102929232.19637984,1.0,154393848.29456976,1.0076725152240602,1080405.8155979936,4321623.262391974,259297395.74351847
9,259297395.74351847,1080405.8155979936,103718958.29740739,1.0,155578437.44611108,1.007683521815654,1088707.1372519,4354828.5490076,261289712.94045603
10,261289712.94045603,1088707.1372519,104515885.17618242,1.0,156773827.7642736,1.0076945508476483,1097084.2496776823,4388336.998710729,263300219.92264378
11,263300219.92264378,1097084.2496776823,105320087.96905752,1.0,157980131.95358625,1.0077056023663382,1105537.944668071,4422151.778672284,265329106.72033706
12,265329106.72033706,1105537.944668071,106131642.68813483,1.0,159197464.03220224,1.007716676418181,1114069.0232550956,4456276.093020382,267376565.58122295
13,267376565.58122295,1114069.0232550956,106950626.23248918,1.0,160425939.34873375,1.0077277730497973,1122678.2958286204,4490713.183314482,269442790.9988689
14,269442790.9988689,1122678.2958286204,107777116.39954756,1.0,161665674.59932134,1.0077388923079709,1131366.5822565344,4525466.3290261375,271527979.74156827
15,271527979.74156827,1131366.5822565344,108611191.8966273,1.0,162916787.84494096,1.0077500342396508,1140134.7120066192,4560538.848026477,273632330.88158864
16,273632330.88158864,1140134.7120066192,109452932.35263546,1.0,164179398.52895316,1.007761198891951,1148983.5242701198,4595934.097080479,275756045.8248288
17,275756045.8248288,1148983.5242701198,110302418.32993153,1.0,165453627.49489728,1.0077723863121526,1157913.8680870458,4631655.472348183,277899328.340891
18,277899328.340891,1157913.8680870458,111159731.3363564,1.0,166739597.0045346,1.0077835965477024,1166926.602473225,4667706.4098929,280062384.593574
19,280062384.593574,1166926.602473225,112024953.8374296,1.0,168037430.75614437,1.0077948296462158,1176022.5965491412,4704090.386196565,282245423.1717939
20,282245423.1717939,1176022.5965491412,112898169.26871756,1.0,169347253.90307632,1.007806085655477,1185202.7296705802,4740810.918682321,284448655.12093925
21,284448655.12093925,1185202.7296705802,113779462.04837571,1.0,170669193.07256356,1.007817364623439,1194467.8915611103,4777871.566244441,286672293.9746665
22,286672293.9746665,1194467.8915611103,114668917.5898666,1.0,172003376.38479987,1.0078286665982255,1203818.9824464275,4815275.92978571,288916555.78714263
23,288916555.78714263,1203818.9824464275,115566622.31485707,1.0,173349933.47228557,1.007839991628131,1213256.9131905928,4853027.652762371,291181659.1657423
24,291181659.1657423,1213256.9131905928,116472663.66629691,1.0,174708995.49944535,1.007851339761622,1222782.6054341889,4891130.421736755,293467825.30420536
25,293467825.30420536,1222782.6054341889,117387130.12168215,1.0,176080695.18252322,1.0078627110473377,1232396.9917344286,4929587.966937714,295775278.0162629
26,295775278.0162629,1232396.9917344286,118310111.20650516,1.0,177465166.80975774,1.0078741055340905,1242101.0157072411,4968404.062828965,298104243.7697379
27,298104243.7697379,1242101.0157072411,119241697.50789517,1.0,178862546.26184273,1.007885523270868,1251895.6321713692,5007582.528685477,300454951.72112864
28,300454951.72112864,1251895.6321713692,120181980.68845147,1.0,180272971.03267717,1.0078969643068314,1261781.8072945045,5047127.229178018,302827633.7506811
29,302827633.7506811,1261781.8072945045,121131053.50027245,1.0,181696580.25040865,1.0079084286913196,1271760.5187414973,5087042.074965989,305222524.4979594
30,305222524.4979594,1271760.5187414973,122089009.79918376,1.0,183133514.69877562,1.0079199164738473,1281832.7558246667,5127331.023298667,307639861.39792
