Day,Capital Start,C_i-1,mi,p,M_i,G,C_i,Total Orders,Capital End
1,15000000.0,1020000.0,7500000.0,1.0,7500000.0,1.0041199849443885,1024202.3846432762,4096809.538573105,245808572.31438628
2,245808572.31438628,1024202.3846432762,122904286.15719314,1.0,122904286.15719314,1.0073471960376263,1031727.4003454548,4126909.601381819,247614576.08290917
3,247614576.08290917,1031727.4003454548,123807288.04145458,1.0,123807288.04145458,1.0073575392906056,1039318.3752306908,4157273.5009227633,249436410.0553658
4,249436410.0553658,1039318.3752306908,124718205.0276829,1.0,124718205.0276829,1.0073679036453105,1046975.9728761911,4187903.8915047646,251274233.49028587
5,251274233.49028587,1046975.9728761911,125637116.74514294,1.0,125637116.74514294,1.0073782891434477,1054700.864330314,4218803.457321256,253128207.43927538
6,253128207.43927538,1054700.864330314,126564103.71963769,1.0,126564103.71963769,1.007388695826863,1062493.7282051803,4249974.912820721,254998494.76924324
7,254998494.76924324,1062493.7282051803,127499247.38462162,1.0,127499247.38462162,1.0073991237375426,1070355.2507705332,4281421.003082133,256885260.184928
8,256885260.184928,1070355.2507705332,128442630.092464,1.0,128442630.092464,1.0074095729176138,1078286.1260488683,4313144.504195473,258788670.25172842
9,258788670.25172842,1078286.1260488683,129394335.12586421,1.0,129394335.12586421,1.0074200434093459,1086287.0559118462,4345148.223647385,260708893.4188431
10,260708893.4188431,1086287.0559118462,130354446.70942155,1.0,130354446.70942155,1.0074305352551503,1094358.7501780125,4377435.00071205,262646100.042723
11,262646100.042723,1094358.7501780125,131323050.0213615,1.0,131323050.0213615,1.0074410484975818,1102501.92671184,4410007.70684736,264600462.4108416
12,264600462.4108416,1102501.92671184,132300231.2054208,1.0,132300231.2054208,1.007451583179339,1110717.3115241148,4442869.246096459,266572154.76578757
13,266572154.76578757,1110717.3115241148,133286077.38289379,1.0,133286077.38289379,1.007462139343265,1119005.6388736845,4476022.555494738,268561353.32968426
14,268561353.32968426,1119005.6388736845,134280676.66484213,1.0,134280676.66484213,1.0074727170323488,1127367.65137059,4509470.60548236,270568236.32894164
15,270568236.32894164,1127367.65137059,135284118.16447082,1.0,135284118.16447082,1.0074833162897245,1135804.1000806,4543216.4003224,272592984.01934403
16,272592984.01934403,1135804.1000806,136296492.00967202,1.0,136296492.00967202,1.007493937158674,1144315.7446311682,4577262.978524673,274635778.7114804
17,274635778.7114804,1144315.7446311682,137317889.3557402,1.0,137317889.3557402,1.007504579682626,1152903.3533188363,4611613.413275345,276696804.7965207
18,276696804.7965207,1152903.3533188363,138348402.39826035,1.0,138348402.39826035,1.0075152439051578,1161567.7032181018,4646270.812872407,278776248.7723444
19,278776248.7723444,1161567.7032181018,139388124.3861722,1.0,139388124.3861722,1.0075259298699955,1170309.580291773,4681238.321167092,280874299.2700255
20,280874299.2700255,1170309.580291773,140437149.63501275,1.0,140437149.63501275,1.0075366376210146,1179129.7795028337,4716519.118011335,282991147.0806801
21,282991147.0806801,1179129.7795028337,141495573.54034004,1.0,141495573.54034004,1.0075473672022421,1188029.1049278404,4752116.419711362,285126985.18268174
22,285126985.18268174,1188029.1049278404,142563492.59134087,1.0,142563492.59134087,1.007558118657855,1197008.3698718704,4788033.4794874815,287282008.7692489
23,287282008.7692489,1197008.3698718704,143641004.38462445,1.0,143641004.38462445,1.007568892032183,1206068.39698505,4824273.5879402,289456415.276412
24,289456415.276412,1206068.39698505,144728207.638206,1.0,144728207.638206,1.007579687369708,1215210.0183806818,4860840.073522727,291650404.4113636
25,291650404.4113636,1215210.0183806818,145825202.2056818,1.0,145825202.2056818,1.0075905047150657,1224434.0757549955,4897736.303019982,293864178.18119895
26,293864178.18119895,1224434.0757549955,146932089.09059948,1.0,146932089.09059948,1.007601344113046,1233741.4205085486,4934965.6820341945,296097940.92205167
27,296097940.92205167,1233741.4205085486,148048970.46102583,1.0,148048970.46102583,1.0076122056085932,1243132.9138692976,4972531.65547719,298351899.3286314
28,298351899.3286314,1243132.9138692976,149175949.6643157,1.0,149175949.6643157,1.0076230892468077,1252609.4270173672,5010437.708069469,300626262.4841682
29,300626262.4841682,1252609.4270173672,150313131.2420841,1.0,150313131.2420841,1.0076339950729465,1262171.8412115441,5048687.3648461765,302921241.8907706
30,302921241.8907706,1262171.8412115441,151460620.9453853,1.0,151460620.9453853,1.0076449231324236,1271821.047917516,5087284.191670064,305237051.50020385
